signal_id,media_entity,signal_type,brand_or_partner,source_url,confidence,notes
media_signal_thecrag_partner,theCrag,business_sponsorship_offer,,https://www.thecrag.com/en/article/partner,high,theCrag explicitly offers business sponsorship to reach the climbing community on worldwide country-specific or regional levels.
media_signal_thecrag_gear_mfr,theCrag,partner_targeting,Gear manufacturers,https://www.thecrag.com/home,high,theCrag homepage partner section explicitly lists gear manufacturers among stakeholder solutions.
media_signal_vl_advertise_page,Vertical Life,public_advertise_surface,,https://verticallifemag.com/advertise/,high,Vertical Life has a public advertise page with a named commercial contact.
media_signal_vl_advertise_brandwall,Vertical Life,advertiser_brand_wall,"Wild Earth|Arc'teryx|Mountain Equipment|theCrag|The North Face|Black Diamond|Bogong Equipment|Summit Gear|Mountain Designs|Urban Abseiler|Mammut|Climbing Anchors|Scarpa|Patagonia|Yeti|Petzl|Therm-a-Rest|Whippa|AeroPress|Osprey",https://verticallifemag.com/advertise/,high,Vertical Life advertise page visually surfaces a broad advertiser or partner brand wall.
media_signal_vl_stockists_page,Vertical Life,public_stockist_surface,,https://verticallifemag.com/stockists/,high,Vertical Life maintains a public stockists page that links the magazine into specialist retailers gyms and outdoor stores across multiple Australian states.
media_signal_vl_stockists_core_network,Vertical Life,stockist_network_presence,"Paddy Pallin|Climbing Anchors|Wild Earth|Pinnacle Sports|Wall Toys|Bogong Equipment",https://verticallifemag.com/stockists/,high,Vertical Life stockists page includes several specialist retailers already present in the sponsor and gear ecosystem map.
media_signal_vl_stockists_gym_network,Vertical Life,gym_stockist_network_presence,"Sydney Indoor Climbing Gym|Pulse Climbing|Beyond Bouldering|Flow Climbing|Portside Boulders|Adrenaline Vault|Rockface Indoor Climbing Centre",https://verticallifemag.com/stockists/,medium,Vertical Life stockists page also reaches through gyms and climbing centres which strengthens its value as a scene media/distribution surface.
media_signal_vl_blackdiamond_review,Vertical Life,editorial_brand_presence,Black Diamond,https://verticallifemag.com/articles/black-diamond-captain-helmet/,medium,Vertical Life publishes dedicated gear coverage for Black Diamond products with Australian pricing and buying cues.
media_signal_vl_blackdiamond_film,Vertical Life,brand_content_presence,Black Diamond,https://verticallifemag.com/articles/connor-herson-black-diamond-film/,medium,Vertical Life publishes Black Diamond athlete film coverage which indicates ongoing brand/media relevance.
media_signal_vl_lasportiva_feature,Vertical Life,editorial_brand_presence,La Sportiva,https://verticallifemag.com/articles/la-sportiva-no-edge-family/,medium,Vertical Life publishes dedicated La Sportiva product coverage with Australian market information.
media_signal_vl_lasportiva_review,Vertical Life,editorial_brand_presence,La Sportiva,https://verticallifemag.com/articles/la-sportiva-ondra-comp-review/,medium,Vertical Life publishes detailed La Sportiva shoe review content tied to local stockist cues.
media_signal_vl_newgear_2025,Vertical Life,multi_brand_gear_roundup,"La Sportiva|Petzl|Arc'teryx|C.A.M.P.|Mammut",https://verticallifemag.com/articles/2025-climbing-gear-preview/,medium,Vertical Life gear roundups surface a recurring set of premium climbing and outdoor brands.
media_signal_vl_newgear_2024,Vertical Life,multi_brand_gear_roundup,"La Sportiva|Black Diamond|C.A.M.P.|Edelrid|Mammut",https://verticallifemag.com/articles/rock-climbing-gear-essentials-september-2024-gear-guide/,medium,Vertical Life seasonal gear coverage highlights a recurring premium climbing-brand cluster.
media_signal_vl_newgear_2026,Vertical Life,multi_brand_gear_roundup,"La Sportiva|Arc'teryx|Bogong Equipment",https://verticallifemag.com/articles/new-gear-autumn-2026/,medium,Vertical Life seasonal gear coverage includes both brand mentions and retailer stockist mentions.
media_signal_vl_bogong_stockist,Vertical Life,retailer_stockist_presence,Bogong Equipment,https://verticallifemag.com/articles/new-gear-autumn-2026/,medium,Vertical Life new gear coverage names Bogong Equipment as a local stockist for La Sportiva product.
media_signal_vl_mammut_review,Vertical Life,editorial_brand_presence,Mammut,https://verticallifemag.com/articles/mammut-9-5-crag-dry-rope-review/,medium,Vertical Life publishes dedicated Mammut gear coverage with direct ANZ and Wild Earth stock cues.
media_signal_hangout_media_surface,The Hangout Australian Climbing Podcast,podcast_community_surface,,https://podcasts.apple.com/us/podcast/the-hangout-australian-climbing-podcast/id1864822086,medium,Public podcast listing shows an active Australian climbing podcast with recurring guests newsletter references and a show website.
media_signal_hangout_brand_context,The Hangout Australian Climbing Podcast,brand_guest_context,The North Face,https://podcasts.apple.com/us/podcast/the-hangout-australian-climbing-podcast/id1864822086,low,Public episode listing includes a North Face athlete guest which suggests outdoor-brand adjacency but does not prove sponsorship.
