snapshot_id,source_key,checked_at,monitor_rank,host_id,host_name,channel_type,channel_value,url,status,status_code,detected_change,content_hash,text_hash,raw_html_path,extracted_text_path,error,notes
2026-04-28T10-38-45-336Z__host-portside-osborne-park-website-events-portsideboulders-com-au-locations-osborne-park,host_portside_osborne_park__website_events__portsideboulders-com-au-locations-osborne-park,2026-04-28T10:38:45.336Z,1,host_portside_osborne_park,Portside Boulders Osborne Park,website_events,Portside Osborne Park venue page,https://portsideboulders.com.au/locations/osborne-park/,source_broken,403,first_snapshot,036bacf3bd34365006eac2a78e4520a953a6250e9550dcf9c9d4b0678c225b4c,46b151c16aa53ea44b1c261291269c10749582663b3cf6c4115e791a4834f059,event_intel/source_snapshots/2026-04-28/2026-04-28T10-38-45-336Z__host-portside-osborne-park-website-events-portsideboulders-com-au-locations-osborne-park.html,event_intel/source_snapshots/2026-04-28/2026-04-28T10-38-45-336Z__host-portside-osborne-park-website-events-portsideboulders-com-au-locations-osborne-park.txt,,Forbidden
2026-04-28T10-38-45-336Z__host-sicg-st-peters-website-events-indoorclimbing-com-au-stpeters,host_sicg_st_peters__website_events__indoorclimbing-com-au-stpeters,2026-04-28T10:38:45.336Z,2,host_sicg_st_peters,Sydney Indoor Climbing Gym St Peters,website_events,SICG St Peters site,https://indoorclimbing.com.au/stpeters/,fetched,200,first_snapshot,338aa2253ca42579d1fcb8ae57f879f33ea66c3ad60c6cad9d7c38ee857b79c7,c4071eedd10d64c8c86c55bc0a10a0d6337be3e00924aaaed7c48c8f4dc2aa0e,event_intel/source_snapshots/2026-04-28/2026-04-28T10-38-45-336Z__host-sicg-st-peters-website-events-indoorclimbing-com-au-stpeters.html,event_intel/source_snapshots/2026-04-28/2026-04-28T10-38-45-336Z__host-sicg-st-peters-website-events-indoorclimbing-com-au-stpeters.txt,,Captured public web source for later parsing and review.
2026-04-28T10-38-45-336Z__host-9-degrees-alexandria-website-events-www-9degrees-com-au-locations,host_9_degrees_alexandria__website_events__www-9degrees-com-au-locations,2026-04-28T10:38:45.336Z,3,host_9_degrees_alexandria,9 Degrees Alexandria,website_events,9 Degrees locations page,https://www.9degrees.com.au/locations,fetched,200,first_snapshot,1356384d5977b039235b8008350da7f56efd8cdbb19f3b7b32efcc0dd9209e63,b1833a05847abb4b680f3680b1db29f21e46d89df629a18056fdd3363601a8b5,event_intel/source_snapshots/2026-04-28/2026-04-28T10-38-45-336Z__host-9-degrees-alexandria-website-events-www-9degrees-com-au-locations.html,event_intel/source_snapshots/2026-04-28/2026-04-28T10-38-45-336Z__host-9-degrees-alexandria-website-events-www-9degrees-com-au-locations.txt,,Captured public web source for later parsing and review.
2026-04-28T10-38-45-336Z__host-9-degrees-enoggera-website-events-www-9degrees-com-au-brisbaneevents,host_9_degrees_enoggera__website_events__www-9degrees-com-au-brisbaneevents,2026-04-28T10:38:45.336Z,4,host_9_degrees_enoggera,9 Degrees Enoggera,website_events,9 Degrees Brisbane events page,https://www.9degrees.com.au/brisbaneevents,fetched,200,first_snapshot,988864e402ac7d240260b2c0650c1d8964221c3cd88937035f9c5d9d7ed7311e,da70c08cd6eaf0153118ae8d0ae96c5cb32a3817ec4e7524b2af248b846affc0,event_intel/source_snapshots/2026-04-28/2026-04-28T10-38-45-336Z__host-9-degrees-enoggera-website-events-www-9degrees-com-au-brisbaneevents.html,event_intel/source_snapshots/2026-04-28/2026-04-28T10-38-45-336Z__host-9-degrees-enoggera-website-events-www-9degrees-com-au-brisbaneevents.txt,,Captured public web source for later parsing and review.
2026-04-28T10-38-45-336Z__host-9-degrees-morningside-website-events-www-9degrees-com-au-brisbaneevents,host_9_degrees_morningside__website_events__www-9degrees-com-au-brisbaneevents,2026-04-28T10:38:45.336Z,5,host_9_degrees_morningside,9 Degrees Morningside,website_events,9 Degrees Brisbane events page,https://www.9degrees.com.au/brisbaneevents,fetched,200,first_snapshot,988864e402ac7d240260b2c0650c1d8964221c3cd88937035f9c5d9d7ed7311e,da70c08cd6eaf0153118ae8d0ae96c5cb32a3817ec4e7524b2af248b846affc0,event_intel/source_snapshots/2026-04-28/2026-04-28T10-38-45-336Z__host-9-degrees-morningside-website-events-www-9degrees-com-au-brisbaneevents.html,event_intel/source_snapshots/2026-04-28/2026-04-28T10-38-45-336Z__host-9-degrees-morningside-website-events-www-9degrees-com-au-brisbaneevents.txt,,Captured public web source for later parsing and review.
2026-04-28T10-39-05-813Z__host-portside-osborne-park-website-events-portsideboulders-com-au-locations-osborne-park,host_portside_osborne_park__website_events__portsideboulders-com-au-locations-osborne-park,2026-04-28T10:39:05.813Z,1,host_portside_osborne_park,Portside Boulders Osborne Park,website_events,Portside Osborne Park venue page,https://portsideboulders.com.au/locations/osborne-park/,source_broken,403,no_change,036bacf3bd34365006eac2a78e4520a953a6250e9550dcf9c9d4b0678c225b4c,46b151c16aa53ea44b1c261291269c10749582663b3cf6c4115e791a4834f059,event_intel/source_snapshots/2026-04-28/2026-04-28T10-39-05-813Z__host-portside-osborne-park-website-events-portsideboulders-com-au-locations-osborne-park.html,event_intel/source_snapshots/2026-04-28/2026-04-28T10-39-05-813Z__host-portside-osborne-park-website-events-portsideboulders-com-au-locations-osborne-park.txt,,Forbidden
2026-04-28T10-39-05-813Z__host-sicg-st-peters-website-events-indoorclimbing-com-au-stpeters,host_sicg_st_peters__website_events__indoorclimbing-com-au-stpeters,2026-04-28T10:39:05.813Z,2,host_sicg_st_peters,Sydney Indoor Climbing Gym St Peters,website_events,SICG St Peters site,https://indoorclimbing.com.au/stpeters/,fetched,200,no_change,338aa2253ca42579d1fcb8ae57f879f33ea66c3ad60c6cad9d7c38ee857b79c7,c4071eedd10d64c8c86c55bc0a10a0d6337be3e00924aaaed7c48c8f4dc2aa0e,event_intel/source_snapshots/2026-04-28/2026-04-28T10-39-05-813Z__host-sicg-st-peters-website-events-indoorclimbing-com-au-stpeters.html,event_intel/source_snapshots/2026-04-28/2026-04-28T10-39-05-813Z__host-sicg-st-peters-website-events-indoorclimbing-com-au-stpeters.txt,,Captured public web source for later parsing and review.
2026-04-28T10-39-05-813Z__host-9-degrees-alexandria-website-events-www-9degrees-com-au-locations,host_9_degrees_alexandria__website_events__www-9degrees-com-au-locations,2026-04-28T10:39:05.813Z,3,host_9_degrees_alexandria,9 Degrees Alexandria,website_events,9 Degrees locations page,https://www.9degrees.com.au/locations,fetched,200,no_change,1356384d5977b039235b8008350da7f56efd8cdbb19f3b7b32efcc0dd9209e63,b1833a05847abb4b680f3680b1db29f21e46d89df629a18056fdd3363601a8b5,event_intel/source_snapshots/2026-04-28/2026-04-28T10-39-05-813Z__host-9-degrees-alexandria-website-events-www-9degrees-com-au-locations.html,event_intel/source_snapshots/2026-04-28/2026-04-28T10-39-05-813Z__host-9-degrees-alexandria-website-events-www-9degrees-com-au-locations.txt,,Captured public web source for later parsing and review.
2026-04-28T10-39-05-813Z__host-9-degrees-enoggera-website-events-www-9degrees-com-au-brisbaneevents,host_9_degrees_enoggera__website_events__www-9degrees-com-au-brisbaneevents,2026-04-28T10:39:05.813Z,4,host_9_degrees_enoggera,9 Degrees Enoggera,website_events,9 Degrees Brisbane events page,https://www.9degrees.com.au/brisbaneevents,fetched,200,no_change,988864e402ac7d240260b2c0650c1d8964221c3cd88937035f9c5d9d7ed7311e,da70c08cd6eaf0153118ae8d0ae96c5cb32a3817ec4e7524b2af248b846affc0,event_intel/source_snapshots/2026-04-28/2026-04-28T10-39-05-813Z__host-9-degrees-enoggera-website-events-www-9degrees-com-au-brisbaneevents.html,event_intel/source_snapshots/2026-04-28/2026-04-28T10-39-05-813Z__host-9-degrees-enoggera-website-events-www-9degrees-com-au-brisbaneevents.txt,,Captured public web source for later parsing and review.
2026-04-28T10-39-05-813Z__host-9-degrees-morningside-website-events-www-9degrees-com-au-brisbaneevents,host_9_degrees_morningside__website_events__www-9degrees-com-au-brisbaneevents,2026-04-28T10:39:05.813Z,5,host_9_degrees_morningside,9 Degrees Morningside,website_events,9 Degrees Brisbane events page,https://www.9degrees.com.au/brisbaneevents,fetched,200,no_change,988864e402ac7d240260b2c0650c1d8964221c3cd88937035f9c5d9d7ed7311e,da70c08cd6eaf0153118ae8d0ae96c5cb32a3817ec4e7524b2af248b846affc0,event_intel/source_snapshots/2026-04-28/2026-04-28T10-39-05-813Z__host-9-degrees-morningside-website-events-www-9degrees-com-au-brisbaneevents.html,event_intel/source_snapshots/2026-04-28/2026-04-28T10-39-05-813Z__host-9-degrees-morningside-website-events-www-9degrees-com-au-brisbaneevents.txt,,Captured public web source for later parsing and review.
