view_name,sponsor_entity_id,normalized_name,endemicity_tag,scene_spend_tag,adjacency_tag,notes
endemic_proven_scene_spenders,sponsor_happy_biner,Happy Biner,climbing_native,proven_scene_spender,retail_infrastructure,Repeat comp sponsor and climbing-specialist retailer.
endemic_proven_scene_spenders,sponsor_black_diamond,Black Diamond,climbing_native,proven_scene_spender,media_familiar,Repeat event sponsor with broader climbing-media familiarity.
endemic_proven_scene_spenders,sponsor_scarpa_australia,Scarpa Australia,climbing_native,proven_scene_spender,activation_brand,Repeated demo and activation brand.
endemic_proven_scene_spenders,sponsor_climbing_anchors,Climbing Anchors,climbing_native,proven_scene_spender,retail_infrastructure,Specialist retailer with repeated scene presence.
endemic_proven_scene_spenders,sponsor_la_sportiva_australia,La Sportiva Australia,climbing_native,proven_scene_spender,activation_brand,Top climbing activation brand in the current data.
adjacent_proven_scene_spenders,sponsor_paddy_pallin,Paddy Pallin,adjacent_but_core_outdoor,proven_scene_spender,retail_infrastructure,Core outdoor retailer with repeat scene spend.
adjacent_proven_scene_spenders,sponsor_k2_base_camp,K2 Base Camp,adjacent_but_core_outdoor,proven_scene_spender,retail_infrastructure,Technical outdoor retailer with direct climbing-event relevance.
adjacent_proven_scene_spenders,sponsor_sea_legs_brewing_co,Sea Legs Brewing Co.,adjacent_non_endemic,proven_scene_spender,food_beverage,Local brewery with repeated gym-event support.
adjacent_proven_scene_spenders,sponsor_climbit_physio,Climbit Physio,adjacent_scene_service,proven_scene_spender,recovery_wellness,Physio brand with strong climber relevance and scene evidence.
adjacent_proven_scene_spenders,sponsor_rocktape,Rocktape,adjacent_scene_service,proven_scene_spender,recovery_wellness,Recovery product with proven climbing crossover.
adjacent_proven_scene_spenders,sponsor_rock_therapy_bne,Rock Therapy BNE,adjacent_scene_service,proven_scene_spender,recovery_wellness,Rehab service with direct climbing-event signal.
adjacent_proven_scene_spenders,sponsor_clif_bar_australia,Clif Bar Australia,adjacent_non_endemic,proven_scene_spender,nutrition_endurance,Nutrition brand with real climbing-scene crossover.
adjacent_proven_scene_spenders,sponsor_nalgene_australia,Nalgene Australia,adjacent_but_core_outdoor,proven_scene_spender,outdoor_accessories,Utility outdoor brand seen in sponsor evidence.
adjacent_proven_scene_spenders,sponsor_tenzing,Tenzing,adjacent_non_endemic,proven_scene_spender,energy_drink,Energy drink category with direct climbing-event relevance.
media_familiar_adjacent_brands,sponsor_arcteryx,Arc'teryx,adjacent_but_core_outdoor,media_familiar,apparel_outdoor,Strong climbing credibility and media-surface history.
media_familiar_adjacent_brands,sponsor_wild_earth,Wild Earth,adjacent_but_core_outdoor,media_familiar,retail_infrastructure,Retailer with climbing catalog and media visibility.
media_familiar_adjacent_brands,sponsor_mountain_equipment,Mountain Equipment,adjacent_but_core_outdoor,media_familiar,retail_infrastructure,Technical retailer with strong climbing-media overlap.
media_familiar_adjacent_brands,sponsor_bogong_equipment,Bogong Equipment,adjacent_but_core_outdoor,media_familiar,retail_infrastructure,Stockist and media-visible technical retailer.
media_familiar_adjacent_brands,sponsor_summit_gear,Summit Gear,adjacent_but_core_outdoor,media_familiar,retail_infrastructure,Media-visible technical retailer with resole crossover.
media_familiar_adjacent_brands,sponsor_mammut,Mammut,adjacent_but_core_outdoor,media_familiar,apparel_outdoor,Strong climbing-media advertiser signal.
media_familiar_adjacent_brands,sponsor_patagonia,Patagonia,adjacent_but_core_outdoor,media_familiar,apparel_outdoor,Outdoor brand with climbing credibility and media presence.
media_familiar_adjacent_brands,sponsor_the_north_face,The North Face,adjacent_but_core_outdoor,media_familiar,apparel_outdoor,Outdoor brand with climbing adjacency and media presence.
local_event_only_adjacent,sponsor_brownes_dairy,Browne's Dairy,adjacent_non_endemic,local_event_only,food_beverage,Local event-support brand rather than recurring sponsor category.
local_event_only_adjacent,sponsor_szent,Szent,adjacent_non_endemic,local_event_only,food_beverage,Weak broader signal outside isolated event context.
local_event_only_adjacent,sponsor_pat_and_sticks,Pat & Stick's,adjacent_non_endemic,local_event_only,food_beverage,Local activation style partner.
local_event_only_adjacent,sponsor_the_biltong_box_mandurah,The Biltong Box Mandurah,adjacent_non_endemic,local_event_only,food_beverage,Local event support only.
local_event_only_adjacent,sponsor_atrium_mandurah_hotel,Atrium Mandurah Hotel,adjacent_non_endemic,local_event_only,travel_hospitality,Hospitality tie-in around destination events.
local_event_only_adjacent,sponsor_mandurah_dolphin_cruises,Mandurah Dolphin Cruises,adjacent_non_endemic,local_event_only,travel_hospitality,Tourism-style local event partner.
local_event_only_adjacent,sponsor_little_sammys,Little Sammys,adjacent_non_endemic,local_event_only,food_beverage,Local event support only.
industry_only_map_nodes,sponsor_stax_climbing,Stax Climbing,climbing_native,industry_only,b2b_setting,Important setter and gym infrastructure brand.
industry_only_map_nodes,sponsor_als_trade,ALS Trade,climbing_native,industry_only,distribution_infrastructure,Distributor node for Ocun and related brands.
industry_only_map_nodes,sponsor_friction_addiction,Friction Addiction,climbing_native,industry_only,distribution_infrastructure,Distributor node for Unparallel Reset and related brands.
industry_only_map_nodes,sponsor_spelean,Spelean,adjacent_scene_service,industry_only,distribution_infrastructure,Technical distribution route into Petzl.
industry_only_map_nodes,sponsor_southern_cross_equipment,Southern Cross Equipment,adjacent_scene_service,industry_only,distribution_infrastructure,Hardware distribution route into DMM and Edelrid.
